index,entity,predefined_type,material,strength,exposure,diameter,casting_method,query,dedupe_key
5654,IfcPile,DRIVEN,Stahlbeton,C40/50,,1000,,IfcPile DRIVEN Stahlbeton C40/50 1000,IfcPile DRIVEN Stahlbeton C40/50 1000
5655,IfcPile,DRIVEN,Stahlbeton,C40/50,,1000,Fertigteil,IfcPile DRIVEN Stahlbeton C40/50 1000 Fertigteil,IfcPile DRIVEN Stahlbeton C40/50 1000 Fertigteil
5656,IfcPile,DRIVEN,Stahlbeton NPK D,,,200,,IfcPile DRIVEN Stahlbeton NPK D 200,IfcPile DRIVEN Stahlbeton NPK D 200
5657,IfcPile,DRIVEN,Stahlbeton NPK D,,,300,,IfcPile DRIVEN Stahlbeton NPK D 300,IfcPile DRIVEN Stahlbeton NPK D 300
5658,IfcPile,DRIVEN,Stahlbeton NPK D,,,400,,IfcPile DRIVEN Stahlbeton NPK D 400,IfcPile DRIVEN Stahlbeton NPK D 400
5659,IfcPile,DRIVEN,Stahlbeton NPK D,,,500,,IfcPile DRIVEN Stahlbeton NPK D 500,IfcPile DRIVEN Stahlbeton NPK D 500
5660,IfcPile,DRIVEN,Stahlbeton NPK D,,,600,,IfcPile DRIVEN Stahlbeton NPK D 600,IfcPile DRIVEN Stahlbeton NPK D 600
5661,IfcPile,DRIVEN,Stahlbeton NPK D,,,700,,IfcPile DRIVEN Stahlbeton NPK D 700,IfcPile DRIVEN Stahlbeton NPK D 700
5662,IfcPile,DRIVEN,Stahlbeton NPK D,,,900,,IfcPile DRIVEN Stahlbeton NPK D 900,IfcPile DRIVEN Stahlbeton NPK D 900
5663,IfcPile,DRIVEN,Stahlbeton NPK D,,,1000,,IfcPile DRIVEN Stahlbeton NPK D 1000,IfcPile DRIVEN Stahlbeton NPK D 1000
5664,IfcPile,DRIVEN,Stahlbeton NPK D,C20/25,,400,PRECAST,IfcPile DRIVEN Stahlbeton NPK D C20/25 400 PRECAST,IfcPile DRIVEN Stahlbeton NPK D C20/25 400 PRECAST
5665,IfcPile,DRIVEN,Stahlbeton NPK D,C25/30,,900,PRECAST,IfcPile DRIVEN Stahlbeton NPK D C25/30 900 PRECAST,IfcPile DRIVEN Stahlbeton NPK D C25/30 900 PRECAST
5666,IfcPile,DRIVEN,Stahlbeton NPK D,C30/37,,300,Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C30/37 300 Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C30/37 300 Fertigteil
5667,IfcPile,DRIVEN,Stahlbeton NPK D,C30/37,,1000,Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C30/37 1000 Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C30/37 1000 Fertigteil
5668,IfcPile,DRIVEN,Stahlbeton NPK D,C35/45,,300,Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C35/45 300 Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C35/45 300 Fertigteil
5669,IfcPile,DRIVEN,Stahlbeton NPK D,C35/45,,700,Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C35/45 700 Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C35/45 700 Fertigteil
5670,IfcPile,DRIVEN,Stahlbeton NPK D,C35/45,,900,Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C35/45 900 Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C35/45 900 Fertigteil
5671,IfcPile,DRIVEN,Stahlbeton NPK D,C40/50,,200,Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C40/50 200 Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C40/50 200 Fertigteil
5672,IfcPile,DRIVEN,Stahlbeton NPK D,C40/50,,500,Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C40/50 500 Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C40/50 500 Fertigteil
5673,IfcPile,DRIVEN,Stahlbeton NPK D,C40/50,,600,Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C40/50 600 Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C40/50 600 Fertigteil
5674,IfcPile,DRIVEN,Stahlbeton NPK D,C40/50,,700,Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C40/50 700 Fertigteil,IfcPile DRIVEN Stahlbeton NPK D C40/50 700 Fertigteil
5675,IfcPile,DRIVEN,Stahlbeton NPK E,,,100,,IfcPile DRIVEN Stahlbeton NPK E 100,IfcPile DRIVEN Stahlbeton NPK E 100
5676,IfcPile,DRIVEN,Stahlbeton NPK E,,,200,,IfcPile DRIVEN Stahlbeton NPK E 200,IfcPile DRIVEN Stahlbeton NPK E 200
5677,IfcPile,DRIVEN,Stahlbeton NPK E,,,300,,IfcPile DRIVEN Stahlbeton NPK E 300,IfcPile DRIVEN Stahlbeton NPK E 300
5678,IfcPile,DRIVEN,Stahlbeton NPK E,,,400,,IfcPile DRIVEN Stahlbeton NPK E 400,IfcPile DRIVEN Stahlbeton NPK E 400
5679,IfcPile,DRIVEN,Stahlbeton NPK E,,,500,,IfcPile DRIVEN Stahlbeton NPK E 500,IfcPile DRIVEN Stahlbeton NPK E 500
5680,IfcPile,DRIVEN,Stahlbeton NPK E,,,600,,IfcPile DRIVEN Stahlbeton NPK E 600,IfcPile DRIVEN Stahlbeton NPK E 600
5681,IfcPile,DRIVEN,Stahlbeton NPK E,,,700,,IfcPile DRIVEN Stahlbeton NPK E 700,IfcPile DRIVEN Stahlbeton NPK E 700
5682,IfcPile,DRIVEN,Stahlbeton NPK E,,,800,,IfcPile DRIVEN Stahlbeton NPK E 800,IfcPile DRIVEN Stahlbeton NPK E 800
5683,IfcPile,DRIVEN,Stahlbeton NPK E,,,1000,,IfcPile DRIVEN Stahlbeton NPK E 1000,IfcPile DRIVEN Stahlbeton NPK E 1000
5684,IfcPile,DRIVEN,Stahlbeton NPK E,C20/25,,100,PRECAST,IfcPile DRIVEN Stahlbeton NPK E C20/25 100 PRECAST,IfcPile DRIVEN Stahlbeton NPK E C20/25 100 PRECAST
5685,IfcPile,DRIVEN,Stahlbeton NPK E,C20/25,,800,PRECAST,IfcPile DRIVEN Stahlbeton NPK E C20/25 800 PRECAST,IfcPile DRIVEN Stahlbeton NPK E C20/25 800 PRECAST
5686,IfcPile,DRIVEN,Stahlbeton NPK E,C25/30,,500,Fertigteil,IfcPile DRIVEN Stahlbeton NPK E C25/30 500 Fertigteil,IfcPile DRIVEN Stahlbeton NPK E C25/30 500 Fertigteil
5687,IfcPile,DRIVEN,Stahlbeton NPK E,C25/30,,1000,Fertigteil,IfcPile DRIVEN Stahlbeton NPK E C25/30 1000 Fertigteil,IfcPile DRIVEN Stahlbeton NPK E C25/30 1000 Fertigteil
5688,IfcPile,DRIVEN,Stahlbeton NPK E,C30/37,,100,PRECAST,IfcPile DRIVEN Stahlbeton NPK E C30/37 100 PRECAST,IfcPile DRIVEN Stahlbeton NPK E C30/37 100 PRECAST
5689,IfcPile,DRIVEN,Stahlbeton NPK E,C30/37,,200,PRECAST,IfcPile DRIVEN Stahlbeton NPK E C30/37 200 PRECAST,IfcPile DRIVEN Stahlbeton NPK E C30/37 200 PRECAST
5690,IfcPile,DRIVEN,Stahlbeton NPK E,C30/37,,600,Fertigteil,IfcPile DRIVEN Stahlbeton NPK E C30/37 600 Fertigteil,IfcPile DRIVEN Stahlbeton NPK E C30/37 600 Fertigteil
5691,IfcPile,DRIVEN,Stahlbeton NPK E,C30/37,,700,Fertigteil,IfcPile DRIVEN Stahlbeton NPK E C30/37 700 Fertigteil,IfcPile DRIVEN Stahlbeton NPK E C30/37 700 Fertigteil
5692,IfcPile,DRIVEN,Stahlbeton NPK E,C35/45,,200,PRECAST,IfcPile DRIVEN Stahlbeton NPK E C35/45 200 PRECAST,IfcPile DRIVEN Stahlbeton NPK E C35/45 200 PRECAST
5693,IfcPile,DRIVEN,Stahlbeton NPK E,C35/45,,400,PRECAST,IfcPile DRIVEN Stahlbeton NPK E C35/45 400 PRECAST,IfcPile DRIVEN Stahlbeton NPK E C35/45 400 PRECAST
5694,IfcPile,DRIVEN,Stahlbeton NPK E,C40/50,,300,PRECAST,IfcPile DRIVEN Stahlbeton NPK E C40/50 300 PRECAST,IfcPile DRIVEN Stahlbeton NPK E C40/50 300 PRECAST
5695,IfcPile,DRIVEN,Stahlbeton NPK E,C40/50,,400,Fertigteil,IfcPile DRIVEN Stahlbeton NPK E C40/50 400 Fertigteil,IfcPile DRIVEN Stahlbeton NPK E C40/50 400 Fertigteil
5696,IfcPile,DRIVEN,Stahlbeton NPK F,,,100,,IfcPile DRIVEN Stahlbeton NPK F 100,IfcPile DRIVEN Stahlbeton NPK F 100
5697,IfcPile,DRIVEN,Stahlbeton NPK F,,,200,,IfcPile DRIVEN Stahlbeton NPK F 200,IfcPile DRIVEN Stahlbeton NPK F 200
5698,IfcPile,DRIVEN,Stahlbeton NPK F,,,300,,IfcPile DRIVEN Stahlbeton NPK F 300,IfcPile DRIVEN Stahlbeton NPK F 300
5699,IfcPile,DRIVEN,Stahlbeton NPK F,,,400,,IfcPile DRIVEN Stahlbeton NPK F 400,IfcPile DRIVEN Stahlbeton NPK F 400
5700,IfcPile,DRIVEN,Stahlbeton NPK F,,,500,,IfcPile DRIVEN Stahlbeton NPK F 500,IfcPile DRIVEN Stahlbeton NPK F 500
5701,IfcPile,DRIVEN,Stahlbeton NPK F,,,700,,IfcPile DRIVEN Stahlbeton NPK F 700,IfcPile DRIVEN Stahlbeton NPK F 700
5702,IfcPile,DRIVEN,Stahlbeton NPK F,,,800,,IfcPile DRIVEN Stahlbeton NPK F 800,IfcPile DRIVEN Stahlbeton NPK F 800
5703,IfcPile,DRIVEN,Stahlbeton NPK F,,,900,,IfcPile DRIVEN Stahlbeton NPK F 900,IfcPile DRIVEN Stahlbeton NPK F 900
5704,IfcPile,DRIVEN,Stahlbeton NPK F,,,1000,,IfcPile DRIVEN Stahlbeton NPK F 1000,IfcPile DRIVEN Stahlbeton NPK F 1000
5705,IfcPile,DRIVEN,Stahlbeton NPK F,C20/25,,200,PRECAST,IfcPile DRIVEN Stahlbeton NPK F C20/25 200 PRECAST,IfcPile DRIVEN Stahlbeton NPK F C20/25 200 PRECAST
5706,IfcPile,DRIVEN,Stahlbeton NPK F,C20/25,,300,Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C20/25 300 Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C20/25 300 Fertigteil
5707,IfcPile,DRIVEN,Stahlbeton NPK F,C20/25,,500,PRECAST,IfcPile DRIVEN Stahlbeton NPK F C20/25 500 PRECAST,IfcPile DRIVEN Stahlbeton NPK F C20/25 500 PRECAST
5708,IfcPile,DRIVEN,Stahlbeton NPK F,C20/25,,700,Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C20/25 700 Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C20/25 700 Fertigteil
5709,IfcPile,DRIVEN,Stahlbeton NPK F,C20/25,,1000,PRECAST,IfcPile DRIVEN Stahlbeton NPK F C20/25 1000 PRECAST,IfcPile DRIVEN Stahlbeton NPK F C20/25 1000 PRECAST
5710,IfcPile,DRIVEN,Stahlbeton NPK F,C25/30,,200,Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C25/30 200 Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C25/30 200 Fertigteil
5711,IfcPile,DRIVEN,Stahlbeton NPK F,C25/30,,300,Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C25/30 300 Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C25/30 300 Fertigteil
5712,IfcPile,DRIVEN,Stahlbeton NPK F,C25/30,,400,PRECAST,IfcPile DRIVEN Stahlbeton NPK F C25/30 400 PRECAST,IfcPile DRIVEN Stahlbeton NPK F C25/30 400 PRECAST
5713,IfcPile,DRIVEN,Stahlbeton NPK F,C25/30,,800,Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C25/30 800 Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C25/30 800 Fertigteil
5714,IfcPile,DRIVEN,Stahlbeton NPK F,C30/37,,400,PRECAST,IfcPile DRIVEN Stahlbeton NPK F C30/37 400 PRECAST,IfcPile DRIVEN Stahlbeton NPK F C30/37 400 PRECAST
5715,IfcPile,DRIVEN,Stahlbeton NPK F,C30/37,,900,PRECAST,IfcPile DRIVEN Stahlbeton NPK F C30/37 900 PRECAST,IfcPile DRIVEN Stahlbeton NPK F C30/37 900 PRECAST
5716,IfcPile,DRIVEN,Stahlbeton NPK F,C35/45,,100,Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C35/45 100 Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C35/45 100 Fertigteil
5717,IfcPile,DRIVEN,Stahlbeton NPK F,C35/45,,800,Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C35/45 800 Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C35/45 800 Fertigteil
5718,IfcPile,DRIVEN,Stahlbeton NPK F,C35/45,,1000,PRECAST,IfcPile DRIVEN Stahlbeton NPK F C35/45 1000 PRECAST,IfcPile DRIVEN Stahlbeton NPK F C35/45 1000 PRECAST
5719,IfcPile,DRIVEN,Stahlbeton NPK F,C40/50,,100,PRECAST,IfcPile DRIVEN Stahlbeton NPK F C40/50 100 PRECAST,IfcPile DRIVEN Stahlbeton NPK F C40/50 100 PRECAST
5720,IfcPile,DRIVEN,Stahlbeton NPK F,C40/50,,1000,Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C40/50 1000 Fertigteil,IfcPile DRIVEN Stahlbeton NPK F C40/50 1000 Fertigteil
5721,IfcPile,DRIVEN,Stahlbeton NPK G,,,100,,IfcPile DRIVEN Stahlbeton NPK G 100,IfcPile DRIVEN Stahlbeton NPK G 100
5722,IfcPile,DRIVEN,Stahlbeton NPK G,,,500,,IfcPile DRIVEN Stahlbeton NPK G 500,IfcPile DRIVEN Stahlbeton NPK G 500
5723,IfcPile,DRIVEN,Stahlbeton NPK G,,,600,,IfcPile DRIVEN Stahlbeton NPK G 600,IfcPile DRIVEN Stahlbeton NPK G 600
5724,IfcPile,DRIVEN,Stahlbeton NPK G,,,700,,IfcPile DRIVEN Stahlbeton NPK G 700,IfcPile DRIVEN Stahlbeton NPK G 700
5725,IfcPile,DRIVEN,Stahlbeton NPK G,,,800,,IfcPile DRIVEN Stahlbeton NPK G 800,IfcPile DRIVEN Stahlbeton NPK G 800
5726,IfcPile,DRIVEN,Stahlbeton NPK G,,,900,,IfcPile DRIVEN Stahlbeton NPK G 900,IfcPile DRIVEN Stahlbeton NPK G 900
5727,IfcPile,DRIVEN,Stahlbeton NPK G,C20/25,,600,Fertigteil,IfcPile DRIVEN Stahlbeton NPK G C20/25 600 Fertigteil,IfcPile DRIVEN Stahlbeton NPK G C20/25 600 Fertigteil
5728,IfcPile,DRIVEN,Stahlbeton NPK G,C20/25,,900,Fertigteil,IfcPile DRIVEN Stahlbeton NPK G C20/25 900 Fertigteil,IfcPile DRIVEN Stahlbeton NPK G C20/25 900 Fertigteil
5729,IfcPile,DRIVEN,Stahlbeton NPK G,C25/30,,100,PRECAST,IfcPile DRIVEN Stahlbeton NPK G C25/30 100 PRECAST,IfcPile DRIVEN Stahlbeton NPK G C25/30 100 PRECAST
5730,IfcPile,DRIVEN,Stahlbeton NPK G,C25/30,,600,PRECAST,IfcPile DRIVEN Stahlbeton NPK G C25/30 600 PRECAST,IfcPile DRIVEN Stahlbeton NPK G C25/30 600 PRECAST
5731,IfcPile,DRIVEN,Stahlbeton NPK G,C25/30,,700,Fertigteil,IfcPile DRIVEN Stahlbeton NPK G C25/30 700 Fertigteil,IfcPile DRIVEN Stahlbeton NPK G C25/30 700 Fertigteil
5732,IfcPile,DRIVEN,Stahlbeton NPK G,C30/37,,500,Fertigteil,IfcPile DRIVEN Stahlbeton NPK G C30/37 500 Fertigteil,IfcPile DRIVEN Stahlbeton NPK G C30/37 500 Fertigteil
5733,IfcPile,DRIVEN,Stahlbeton NPK G,C30/37,,800,PRECAST,IfcPile DRIVEN Stahlbeton NPK G C30/37 800 PRECAST,IfcPile DRIVEN Stahlbeton NPK G C30/37 800 PRECAST
5734,IfcPile,DRIVEN,Stahlbeton NPK G,C35/45,,500,PRECAST,IfcPile DRIVEN Stahlbeton NPK G C35/45 500 PRECAST,IfcPile DRIVEN Stahlbeton NPK G C35/45 500 PRECAST
5735,IfcPile,DRIVEN,Stahlbeton NPK G,C35/45,,600,Fertigteil,IfcPile DRIVEN Stahlbeton NPK G C35/45 600 Fertigteil,IfcPile DRIVEN Stahlbeton NPK G C35/45 600 Fertigteil
5736,IfcPile,DRIVEN,Stahlbeton NPK G,C40/50,,800,Fertigteil,IfcPile DRIVEN Stahlbeton NPK G C40/50 800 Fertigteil,IfcPile DRIVEN Stahlbeton NPK G C40/50 800 Fertigteil
5737,IfcPile,DRIVEN,Stahlbeton NPK G,C40/50,,900,PRECAST,IfcPile DRIVEN Stahlbeton NPK G C40/50 900 PRECAST,IfcPile DRIVEN Stahlbeton NPK G C40/50 900 PRECAST
5738,IfcPile,FRICTION,Beton,,,100,,IfcPile FRICTION Beton 100,IfcPile FRICTION Beton 100
5739,IfcPile,FRICTION,Beton,,,100,Fertigteil,IfcPile FRICTION Beton 100 Fertigteil,IfcPile FRICTION Beton 100 Fertigteil
5740,IfcPile,FRICTION,Beton,,,100,INSITU,IfcPile FRICTION Beton 100 INSITU,IfcPile FRICTION Beton 100 INSITU
5741,IfcPile,FRICTION,Beton,,,100,Ortbeton,IfcPile FRICTION Beton 100 Ortbeton,IfcPile FRICTION Beton 100 Ortbeton
5742,IfcPile,FRICTION,Beton,,,100,PRECAST,IfcPile FRICTION Beton 100 PRECAST,IfcPile FRICTION Beton 100 PRECAST
5743,IfcPile,FRICTION,Beton,,,200,,IfcPile FRICTION Beton 200,IfcPile FRICTION Beton 200
5744,IfcPile,FRICTION,Beton,,,200,Fertigteil,IfcPile FRICTION Beton 200 Fertigteil,IfcPile FRICTION Beton 200 Fertigteil
5745,IfcPile,FRICTION,Beton,,,200,INSITU,IfcPile FRICTION Beton 200 INSITU,IfcPile FRICTION Beton 200 INSITU
5746,IfcPile,FRICTION,Beton,,,200,Ortbeton,IfcPile FRICTION Beton 200 Ortbeton,IfcPile FRICTION Beton 200 Ortbeton
5747,IfcPile,FRICTION,Beton,,,200,PRECAST,IfcPile FRICTION Beton 200 PRECAST,IfcPile FRICTION Beton 200 PRECAST
5748,IfcPile,FRICTION,Beton,,,300,,IfcPile FRICTION Beton 300,IfcPile FRICTION Beton 300
5749,IfcPile,FRICTION,Beton,,,300,Fertigteil,IfcPile FRICTION Beton 300 Fertigteil,IfcPile FRICTION Beton 300 Fertigteil
5750,IfcPile,FRICTION,Beton,,,300,INSITU,IfcPile FRICTION Beton 300 INSITU,IfcPile FRICTION Beton 300 INSITU
5751,IfcPile,FRICTION,Beton,,,300,Ortbeton,IfcPile FRICTION Beton 300 Ortbeton,IfcPile FRICTION Beton 300 Ortbeton
5752,IfcPile,FRICTION,Beton,,,300,PRECAST,IfcPile FRICTION Beton 300 PRECAST,IfcPile FRICTION Beton 300 PRECAST
5753,IfcPile,FRICTION,Beton,,,400,,IfcPile FRICTION Beton 400,IfcPile FRICTION Beton 400
5754,IfcPile,FRICTION,Beton,,,400,Fertigteil,IfcPile FRICTION Beton 400 Fertigteil,IfcPile FRICTION Beton 400 Fertigteil
5755,IfcPile,FRICTION,Beton,,,400,INSITU,IfcPile FRICTION Beton 400 INSITU,IfcPile FRICTION Beton 400 INSITU
5756,IfcPile,FRICTION,Beton,,,400,Ortbeton,IfcPile FRICTION Beton 400 Ortbeton,IfcPile FRICTION Beton 400 Ortbeton
5757,IfcPile,FRICTION,Beton,,,400,PRECAST,IfcPile FRICTION Beton 400 PRECAST,IfcPile FRICTION Beton 400 PRECAST
5758,IfcPile,FRICTION,Beton,,,500,,IfcPile FRICTION Beton 500,IfcPile FRICTION Beton 500
5759,IfcPile,FRICTION,Beton,,,500,Fertigteil,IfcPile FRICTION Beton 500 Fertigteil,IfcPile FRICTION Beton 500 Fertigteil
5760,IfcPile,FRICTION,Beton,,,500,INSITU,IfcPile FRICTION Beton 500 INSITU,IfcPile FRICTION Beton 500 INSITU
5761,IfcPile,FRICTION,Beton,,,500,Ortbeton,IfcPile FRICTION Beton 500 Ortbeton,IfcPile FRICTION Beton 500 Ortbeton
5762,IfcPile,FRICTION,Beton,,,500,PRECAST,IfcPile FRICTION Beton 500 PRECAST,IfcPile FRICTION Beton 500 PRECAST
5763,IfcPile,FRICTION,Beton,,,600,,IfcPile FRICTION Beton 600,IfcPile FRICTION Beton 600
5764,IfcPile,FRICTION,Beton,,,600,Fertigteil,IfcPile FRICTION Beton 600 Fertigteil,IfcPile FRICTION Beton 600 Fertigteil
5765,IfcPile,FRICTION,Beton,,,600,INSITU,IfcPile FRICTION Beton 600 INSITU,IfcPile FRICTION Beton 600 INSITU
5766,IfcPile,FRICTION,Beton,,,600,Ortbeton,IfcPile FRICTION Beton 600 Ortbeton,IfcPile FRICTION Beton 600 Ortbeton
5767,IfcPile,FRICTION,Beton,,,600,PRECAST,IfcPile FRICTION Beton 600 PRECAST,IfcPile FRICTION Beton 600 PRECAST
5768,IfcPile,FRICTION,Beton,,,700,,IfcPile FRICTION Beton 700,IfcPile FRICTION Beton 700
5769,IfcPile,FRICTION,Beton,,,700,Fertigteil,IfcPile FRICTION Beton 700 Fertigteil,IfcPile FRICTION Beton 700 Fertigteil
5770,IfcPile,FRICTION,Beton,,,700,INSITU,IfcPile FRICTION Beton 700 INSITU,IfcPile FRICTION Beton 700 INSITU
5771,IfcPile,FRICTION,Beton,,,700,Ortbeton,IfcPile FRICTION Beton 700 Ortbeton,IfcPile FRICTION Beton 700 Ortbeton
5772,IfcPile,FRICTION,Beton,,,700,PRECAST,IfcPile FRICTION Beton 700 PRECAST,IfcPile FRICTION Beton 700 PRECAST
5773,IfcPile,FRICTION,Beton,,,800,,IfcPile FRICTION Beton 800,IfcPile FRICTION Beton 800
5774,IfcPile,FRICTION,Beton,,,800,Fertigteil,IfcPile FRICTION Beton 800 Fertigteil,IfcPile FRICTION Beton 800 Fertigteil
5775,IfcPile,FRICTION,Beton,,,800,INSITU,IfcPile FRICTION Beton 800 INSITU,IfcPile FRICTION Beton 800 INSITU
5776,IfcPile,FRICTION,Beton,,,800,Ortbeton,IfcPile FRICTION Beton 800 Ortbeton,IfcPile FRICTION Beton 800 Ortbeton
5777,IfcPile,FRICTION,Beton,,,800,PRECAST,IfcPile FRICTION Beton 800 PRECAST,IfcPile FRICTION Beton 800 PRECAST
5778,IfcPile,FRICTION,Beton,,,900,,IfcPile FRICTION Beton 900,IfcPile FRICTION Beton 900
5779,IfcPile,FRICTION,Beton,,,900,Fertigteil,IfcPile FRICTION Beton 900 Fertigteil,IfcPile FRICTION Beton 900 Fertigteil
5780,IfcPile,FRICTION,Beton,,,900,Ortbeton,IfcPile FRICTION Beton 900 Ortbeton,IfcPile FRICTION Beton 900 Ortbeton
5781,IfcPile,FRICTION,Beton,,,900,PRECAST,IfcPile FRICTION Beton 900 PRECAST,IfcPile FRICTION Beton 900 PRECAST
5782,IfcPile,FRICTION,Beton,,,1000,,IfcPile FRICTION Beton 1000,IfcPile FRICTION Beton 1000
5783,IfcPile,FRICTION,Beton,,,1000,Fertigteil,IfcPile FRICTION Beton 1000 Fertigteil,IfcPile FRICTION Beton 1000 Fertigteil
5784,IfcPile,FRICTION,Beton,,,1000,INSITU,IfcPile FRICTION Beton 1000 INSITU,IfcPile FRICTION Beton 1000 INSITU
5785,IfcPile,FRICTION,Beton,,,1000,Ortbeton,IfcPile FRICTION Beton 1000 Ortbeton,IfcPile FRICTION Beton 1000 Ortbeton
5786,IfcPile,FRICTION,Beton,,,1000,PRECAST,IfcPile FRICTION Beton 1000 PRECAST,IfcPile FRICTION Beton 1000 PRECAST
5787,IfcPile,FRICTION,Beton,C20/25,,100,,IfcPile FRICTION Beton C20/25 100,IfcPile FRICTION Beton C20/25 100
5788,IfcPile,FRICTION,Beton,C20/25,,100,Fertigteil,IfcPile FRICTION Beton C20/25 100 Fertigteil,IfcPile FRICTION Beton C20/25 100 Fertigteil
5789,IfcPile,FRICTION,Beton,C20/25,,100,Ortbeton,IfcPile FRICTION Beton C20/25 100 Ortbeton,IfcPile FRICTION Beton C20/25 100 Ortbeton
5790,IfcPile,FRICTION,Beton,C20/25,,200,,IfcPile FRICTION Beton C20/25 200,IfcPile FRICTION Beton C20/25 200
5791,IfcPile,FRICTION,Beton,C20/25,,200,Ortbeton,IfcPile FRICTION Beton C20/25 200 Ortbeton,IfcPile FRICTION Beton C20/25 200 Ortbeton
5792,IfcPile,FRICTION,Beton,C20/25,,200,PRECAST,IfcPile FRICTION Beton C20/25 200 PRECAST,IfcPile FRICTION Beton C20/25 200 PRECAST
5793,IfcPile,FRICTION,Beton,C20/25,,300,,IfcPile FRICTION Beton C20/25 300,IfcPile FRICTION Beton C20/25 300
5794,IfcPile,FRICTION,Beton,C20/25,,300,INSITU,IfcPile FRICTION Beton C20/25 300 INSITU,IfcPile FRICTION Beton C20/25 300 INSITU
5795,IfcPile,FRICTION,Beton,C20/25,,300,PRECAST,IfcPile FRICTION Beton C20/25 300 PRECAST,IfcPile FRICTION Beton C20/25 300 PRECAST
5796,IfcPile,FRICTION,Beton,C20/25,,400,,IfcPile FRICTION Beton C20/25 400,IfcPile FRICTION Beton C20/25 400
5797,IfcPile,FRICTION,Beton,C20/25,,400,Fertigteil,IfcPile FRICTION Beton C20/25 400 Fertigteil,IfcPile FRICTION Beton C20/25 400 Fertigteil
5798,IfcPile,FRICTION,Beton,C20/25,,400,INSITU,IfcPile FRICTION Beton C20/25 400 INSITU,IfcPile FRICTION Beton C20/25 400 INSITU
5799,IfcPile,FRICTION,Beton,C20/25,,500,,IfcPile FRICTION Beton C20/25 500,IfcPile FRICTION Beton C20/25 500
5800,IfcPile,FRICTION,Beton,C20/25,,500,Fertigteil,IfcPile FRICTION Beton C20/25 500 Fertigteil,IfcPile FRICTION Beton C20/25 500 Fertigteil
5801,IfcPile,FRICTION,Beton,C20/25,,500,INSITU,IfcPile FRICTION Beton C20/25 500 INSITU,IfcPile FRICTION Beton C20/25 500 INSITU
5802,IfcPile,FRICTION,Beton,C20/25,,600,,IfcPile FRICTION Beton C20/25 600,IfcPile FRICTION Beton C20/25 600
5803,IfcPile,FRICTION,Beton,C20/25,,600,Ortbeton,IfcPile FRICTION Beton C20/25 600 Ortbeton,IfcPile FRICTION Beton C20/25 600 Ortbeton
5804,IfcPile,FRICTION,Beton,C20/25,,600,PRECAST,IfcPile FRICTION Beton C20/25 600 PRECAST,IfcPile FRICTION Beton C20/25 600 PRECAST
5805,IfcPile,FRICTION,Beton,C20/25,,700,,IfcPile FRICTION Beton C20/25 700,IfcPile FRICTION Beton C20/25 700
5806,IfcPile,FRICTION,Beton,C20/25,,700,Ortbeton,IfcPile FRICTION Beton C20/25 700 Ortbeton,IfcPile FRICTION Beton C20/25 700 Ortbeton
5807,IfcPile,FRICTION,Beton,C20/25,,700,PRECAST,IfcPile FRICTION Beton C20/25 700 PRECAST,IfcPile FRICTION Beton C20/25 700 PRECAST
5808,IfcPile,FRICTION,Beton,C20/25,,800,,IfcPile FRICTION Beton C20/25 800,IfcPile FRICTION Beton C20/25 800
5809,IfcPile,FRICTION,Beton,C20/25,,800,Ortbeton,IfcPile FRICTION Beton C20/25 800 Ortbeton,IfcPile FRICTION Beton C20/25 800 Ortbeton
5810,IfcPile,FRICTION,Beton,C20/25,,800,PRECAST,IfcPile FRICTION Beton C20/25 800 PRECAST,IfcPile FRICTION Beton C20/25 800 PRECAST
