line_number,query,baseline_mapping,new_mapping,change_state,mapping_state
6666,IfcPile JETGROUTING Stahlbeton C20/25 800,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6667,IfcPile JETGROUTING Stahlbeton C20/25 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6668,IfcPile JETGROUTING Stahlbeton C20/25 900,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6669,IfcPile JETGROUTING Stahlbeton C20/25 900 INSITU,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6670,IfcPile JETGROUTING Stahlbeton C20/25 1000,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6671,IfcPile JETGROUTING Stahlbeton C20/25 1000 Ortbeton,Tiefgründung Ortbetonbohrpfahl 1200,Tiefgründung Ortbetonbohrpfahl 1200,unchanged,non-empty
6672,IfcPile JETGROUTING Stahlbeton C25/30 100,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6673,IfcPile JETGROUTING Stahlbeton C25/30 100 Ortbeton,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6674,IfcPile JETGROUTING Stahlbeton C25/30 200,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6675,IfcPile JETGROUTING Stahlbeton C25/30 200 INSITU,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6676,IfcPile JETGROUTING Stahlbeton C25/30 300,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6677,IfcPile JETGROUTING Stahlbeton C25/30 300 Ortbeton,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6678,IfcPile JETGROUTING Stahlbeton C25/30 400,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6679,IfcPile JETGROUTING Stahlbeton C25/30 400 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6680,IfcPile JETGROUTING Stahlbeton C25/30 500,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6681,IfcPile JETGROUTING Stahlbeton C25/30 500 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6682,IfcPile JETGROUTING Stahlbeton C25/30 600,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6683,IfcPile JETGROUTING Stahlbeton C25/30 600 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6684,IfcPile JETGROUTING Stahlbeton C25/30 700,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6685,IfcPile JETGROUTING Stahlbeton C25/30 700 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6686,IfcPile JETGROUTING Stahlbeton C25/30 800,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6687,IfcPile JETGROUTING Stahlbeton C25/30 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6688,IfcPile JETGROUTING Stahlbeton C25/30 900,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6689,IfcPile JETGROUTING Stahlbeton C25/30 900 INSITU,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6690,IfcPile JETGROUTING Stahlbeton C25/30 1000,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6691,IfcPile JETGROUTING Stahlbeton C25/30 1000 INSITU,Tiefgründung Ortbetonbohrpfahl 1200,Tiefgründung Ortbetonbohrpfahl 1200,unchanged,non-empty
6692,IfcPile JETGROUTING Stahlbeton C30/37 100,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6693,IfcPile JETGROUTING Stahlbeton C30/37 100 Ortbeton,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6694,IfcPile JETGROUTING Stahlbeton C30/37 200,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6695,IfcPile JETGROUTING Stahlbeton C30/37 200 INSITU,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6696,IfcPile JETGROUTING Stahlbeton C30/37 300,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6697,IfcPile JETGROUTING Stahlbeton C30/37 300 INSITU,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6698,IfcPile JETGROUTING Stahlbeton C30/37 400,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6699,IfcPile JETGROUTING Stahlbeton C30/37 400 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6700,IfcPile JETGROUTING Stahlbeton C30/37 500,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6701,IfcPile JETGROUTING Stahlbeton C30/37 500 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6702,IfcPile JETGROUTING Stahlbeton C30/37 600,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6703,IfcPile JETGROUTING Stahlbeton C30/37 600 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6704,IfcPile JETGROUTING Stahlbeton C30/37 700,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6705,IfcPile JETGROUTING Stahlbeton C30/37 700 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6706,IfcPile JETGROUTING Stahlbeton C30/37 800,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6707,IfcPile JETGROUTING Stahlbeton C30/37 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6708,IfcPile JETGROUTING Stahlbeton C30/37 900,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6709,IfcPile JETGROUTING Stahlbeton C30/37 900 INSITU,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6710,IfcPile JETGROUTING Stahlbeton C30/37 1000,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6711,IfcPile JETGROUTING Stahlbeton C30/37 1000 INSITU,Tiefgründung Ortbetonbohrpfahl 1200,Tiefgründung Ortbetonbohrpfahl 1200,unchanged,non-empty
6712,IfcPile JETGROUTING Stahlbeton C35/45 100,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6713,IfcPile JETGROUTING Stahlbeton C35/45 100 INSITU,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6714,IfcPile JETGROUTING Stahlbeton C35/45 200,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6715,IfcPile JETGROUTING Stahlbeton C35/45 200 Ortbeton,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6716,IfcPile JETGROUTING Stahlbeton C35/45 300,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6717,IfcPile JETGROUTING Stahlbeton C35/45 300 INSITU,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6718,IfcPile JETGROUTING Stahlbeton C35/45 400,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6719,IfcPile JETGROUTING Stahlbeton C35/45 400 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6720,IfcPile JETGROUTING Stahlbeton C35/45 500,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6721,IfcPile JETGROUTING Stahlbeton C35/45 500 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6722,IfcPile JETGROUTING Stahlbeton C35/45 600,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6723,IfcPile JETGROUTING Stahlbeton C35/45 600 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6724,IfcPile JETGROUTING Stahlbeton C35/45 700,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6725,IfcPile JETGROUTING Stahlbeton C35/45 700 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6726,IfcPile JETGROUTING Stahlbeton C35/45 800,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6727,IfcPile JETGROUTING Stahlbeton C35/45 800 INSITU,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6728,IfcPile JETGROUTING Stahlbeton C35/45 900,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6729,IfcPile JETGROUTING Stahlbeton C35/45 900 INSITU,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6730,IfcPile JETGROUTING Stahlbeton C35/45 1000,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6731,IfcPile JETGROUTING Stahlbeton C35/45 1000 Ortbeton,Tiefgründung Ortbetonbohrpfahl 1200,Tiefgründung Ortbetonbohrpfahl 1200,unchanged,non-empty
6732,IfcPile JETGROUTING Stahlbeton C40/50 100,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6733,IfcPile JETGROUTING Stahlbeton C40/50 100 Ortbeton,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6734,IfcPile JETGROUTING Stahlbeton C40/50 200,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6735,IfcPile JETGROUTING Stahlbeton C40/50 200 INSITU,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6736,IfcPile JETGROUTING Stahlbeton C40/50 300,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Mikrobohrpfahl | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6737,IfcPile JETGROUTING Stahlbeton C40/50 300 Ortbeton,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6738,IfcPile JETGROUTING Stahlbeton C40/50 400,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6739,IfcPile JETGROUTING Stahlbeton C40/50 400 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6740,IfcPile JETGROUTING Stahlbeton C40/50 500,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6741,IfcPile JETGROUTING Stahlbeton C40/50 500 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6742,IfcPile JETGROUTING Stahlbeton C40/50 600,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6743,IfcPile JETGROUTING Stahlbeton C40/50 600 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6744,IfcPile JETGROUTING Stahlbeton C40/50 700,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6745,IfcPile JETGROUTING Stahlbeton C40/50 700 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6746,IfcPile JETGROUTING Stahlbeton C40/50 800,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6747,IfcPile JETGROUTING Stahlbeton C40/50 800 INSITU,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6748,IfcPile JETGROUTING Stahlbeton C40/50 900,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6749,IfcPile JETGROUTING Stahlbeton C40/50 900 INSITU,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6750,IfcPile JETGROUTING Stahlbeton C40/50 1000,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Vorgefertigter Betonpfahl,Bohrpfahlbeton | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Vorgefertigter Betonpfahl,unchanged,non-empty
6751,IfcPile JETGROUTING Stahlbeton C40/50 1000 INSITU,Tiefgründung Ortbetonbohrpfahl 1200,Tiefgründung Ortbetonbohrpfahl 1200,unchanged,non-empty
6752,IfcPile JETGROUTING Stahlbeton NPK D 100,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6753,IfcPile JETGROUTING Stahlbeton NPK D 200,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6754,IfcPile JETGROUTING Stahlbeton NPK D 300,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6755,IfcPile JETGROUTING Stahlbeton NPK D 400,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6756,IfcPile JETGROUTING Stahlbeton NPK D 500,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6757,IfcPile JETGROUTING Stahlbeton NPK D 600,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6758,IfcPile JETGROUTING Stahlbeton NPK D 700,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6759,IfcPile JETGROUTING Stahlbeton NPK D C20/25 400 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6760,IfcPile JETGROUTING Stahlbeton NPK D C25/30 200 INSITU,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6761,IfcPile JETGROUTING Stahlbeton NPK D C25/30 700 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6762,IfcPile JETGROUTING Stahlbeton NPK D C30/37 100 Ortbeton,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6763,IfcPile JETGROUTING Stahlbeton NPK D C30/37 200 INSITU,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6764,IfcPile JETGROUTING Stahlbeton NPK D C30/37 300 INSITU,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6765,IfcPile JETGROUTING Stahlbeton NPK D C30/37 500 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6766,IfcPile JETGROUTING Stahlbeton NPK D C30/37 600 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6767,IfcPile JETGROUTING Stahlbeton NPK D C30/37 700 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6768,IfcPile JETGROUTING Stahlbeton NPK D C35/45 500 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6769,IfcPile JETGROUTING Stahlbeton NPK D C40/50 400 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6770,IfcPile JETGROUTING Stahlbeton NPK D C40/50 600 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6771,IfcPile JETGROUTING Stahlbeton NPK E 200,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6772,IfcPile JETGROUTING Stahlbeton NPK E 300,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6773,IfcPile JETGROUTING Stahlbeton NPK E 400,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6774,IfcPile JETGROUTING Stahlbeton NPK E 600,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6775,IfcPile JETGROUTING Stahlbeton NPK E 700,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6776,IfcPile JETGROUTING Stahlbeton NPK E 800,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6777,IfcPile JETGROUTING Stahlbeton NPK E 900,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6778,IfcPile JETGROUTING Stahlbeton NPK E 1000,Tiefgründung Ortbetonbohrpfahl 1200,Tiefgründung Ortbetonbohrpfahl 1200,unchanged,non-empty
6779,IfcPile JETGROUTING Stahlbeton NPK E C20/25 200 INSITU,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6780,IfcPile JETGROUTING Stahlbeton NPK E C20/25 600 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6781,IfcPile JETGROUTING Stahlbeton NPK E C25/30 400 INSITU,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6782,IfcPile JETGROUTING Stahlbeton NPK E C25/30 900 INSITU,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6783,IfcPile JETGROUTING Stahlbeton NPK E C30/37 800 Ortbeton,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6784,IfcPile JETGROUTING Stahlbeton NPK E C30/37 900 INSITU,Tiefgründung Ortbetonbohrpfahl 900,Tiefgründung Ortbetonbohrpfahl 900,unchanged,non-empty
6785,IfcPile JETGROUTING Stahlbeton NPK E C35/45 600 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6786,IfcPile JETGROUTING Stahlbeton NPK E C35/45 700 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,unchanged,non-empty
6787,IfcPile JETGROUTING Stahlbeton NPK E C35/45 1000 Ortbeton,Tiefgründung Ortbetonbohrpfahl 1200,Tiefgründung Ortbetonbohrpfahl 1200,unchanged,non-empty
6788,IfcPile JETGROUTING Stahlbeton NPK E C40/50 300 Ortbeton,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
6789,IfcPile JETGROUTING Stahlbeton NPK E C40/50 1000 INSITU,Tiefgründung Ortbetonbohrpfahl 1200,Tiefgründung Ortbetonbohrpfahl 1200,unchanged,non-empty
6790,IfcPile JETGROUTING Stahlbeton NPK F 100,Tiefgründung Mikrobohrpfahl,Tiefgründung Mikrobohrpfahl,unchanged,non-empty
